Issue.ID,Number.of.issue.solving.commits.found,Total.additions.made.to.fix.the.issue,Total.deletions.made.to.fix.the.issue,Total.changes.made.to.fix.the.issue,Commits..commit.hashcode..date.of.commit..commit.s.author..number.of.additions.made.by.the.commit..number.of.deletions.made.by.the.commit..number.of.total.changes.made.by.the.commit..approach.used.to.find.the.commit.
11847,1,18,6,24,"(9f2b2cac37da4476dde478d063cc5a5f2edb0e91, 2018-11-02 10:19:18 -0700, Tongzhou Wang, 18, 6, 24, LINK)"
11874,1,122,63,185,"(97036d3c3043b99b9015bf44f9a58eb14f106a80, 2018-11-14 01:26:44 -0800, Teng Li, 122, 63, 185, LINK)"
11878,1,5,6,11,"(aa022313cb694546cca7fcb0123a818bf2d668b9, 2018-12-13 00:19:13 -0800, Syed Tousif Ahmed, 5, 6, 11, LINK)"
1188,1,1,1,2,"(9fe99241b2baf6a45d6bfd2d452e8f7985bfd9f6, 2017-09-23 19:38:13 -0700, Yangqing Jia, 1, 1, 2, LINK)"
11886,1,3,3,6,"(f6609daad7b03dcf32cc62bb78a96de4099c2ce4, 2019-05-06 06:32:42 -0700, peter, 3, 3, 6, LINK)"
11888,1,19,3,22,"(ffbac7d0bb4e0772cab0054f79339478124ea9aa, 2018-09-24 11:50:41 -0700, Syed Tousif Ahmed, 19, 3, 22, LINK)"
11905,1,15,0,15,"(775358e4c2543af4da39387385e39da6cfed5ece, 2018-09-21 12:27:56 -0700, Thomas Viehmann, 15, 0, 15, LINK)"
11912,1,24,602,626,"(5865561a9a8daf4735fdbd1091fd028dd79df0e5, 2018-11-27 10:41:04 -0800, Pieter Noordhuis, 24, 602, 626, LINK)"
11913,1,8,1,9,"(58d28a5f126fedbf47d87b16708357c1319fb1d0, 2018-09-21 06:05:37 -0700, Luca Antiga, 8, 1, 9, LINK)"
11914,1,325,1,326,"(7a1b668283ef80098d00f621803863c492900389, 2018-10-12 13:33:43 -0700, Alex Ford, 325, 1, 326, LINK)"
11991,1,10,3,13,"(cf444f354450821a9e4288a8eb32a2a6571754e9, 2019-03-29 06:41:49 -0700, crcrpar, 10, 3, 13, LINK)"
11995,1,1,3,4,"(93ecf4d72ada7fd6cbcf9ec582ecb0e37344bc7c, 2018-09-29 22:40:09 -0700, Peter Goldsborough, 1, 3, 4, LINK)"
12014,1,1,1,2,"(20e395a1302966349841aab04a45a614d6354c11, 2018-11-14 21:34:56 -0800, Teng Li, 1, 1, 2, LINK)"
12042,1,112,81,193,"(a5818047c4c297de7ccb41c32fb98609ab3eaab7, 2018-09-27 19:01:29 -0700, Edward Z. Yang, 112, 81, 193, LINK)"
12067,1,34,7,41,"(7b2c0a09e4795bb8dc06c3d1881289fbe75d84e2, 2018-09-28 13:55:42 -0700, mruberry, 34, 7, 41, LINK)"
121,1,1,7,8,"(4afd6306321bc84db33c94813e85945a0ab59ade, 2017-10-24 05:48:51 -0700, Zachary DeVito, 1, 7, 8, LINK)"
12112,1,1,1,2,"(b46a630836973c8101a4d806e44246cda4693dcb, 2019-05-14 08:29:38 -0700, Sam Gross, 1, 1, 2, LINK)"
12115,1,151,82,233,"(bd958cde685c2de67ecf691934470ef3c289e00d, 2018-12-17 20:08:15 -0800, Jie, 151, 82, 233, LINK)"
12118,1,18,2,20,"(c9f9df002dc9e2b0c4648cb6148030b5405c55d3, 2018-10-03 17:10:22 -0700, David Riazati, 18, 2, 20, LINK)"
12120,1,30,19,49,"(5ffc915f26a7759d3a24b692599a49db2ef6b0c0, 2018-09-29 22:23:36 -0700, Wei Yang, 30, 19, 49, LINK)"
12129,1,29,5,34,"(488d393ea604184eb30e9eaa67b6c60291152e21, 2018-10-31 10:13:14 -0700, Ailing Zhang, 29, 5, 34, LINK)"
1215,1,1,2,3,"(81898e5d470caac8674ee457c5265cbf190c54b1, 2018-01-12 16:02:38 -0800, Leon Masopust, 1, 2, 3, LINK)"
12150,1,138,34,172,"(74819087de17de4c8215a7f631d8d4d18dd13d45, 2018-11-05 16:20:19 -0800, Teng Li, 138, 34, 172, LINK)"
12160,1,117,1,118,"(f0ed927b625068a636d2f2de7d19e505e06a3fb9, 2018-11-05 08:53:23 -0800, Thomas Viehmann, 117, 1, 118, LINK)"
