Issue.ID,Number.of.issue.solving.commits.found,Total.additions.made.to.fix.the.issue,Total.deletions.made.to.fix.the.issue,Total.changes.made.to.fix.the.issue,Commits..commit.hashcode..date.of.commit..commit.s.author..number.of.additions.made.by.the.commit..number.of.deletions.made.by.the.commit..number.of.total.changes.made.by.the.commit..approach.used.to.find.the.commit.
10236,1,0,2,2,"(3039d7da20e6ace6a7297b8ce581b7c387f3891a, 2017-06-06 06:50:37 +0200, Androbin, 0, 2, 2, LINK)"
10258,1,6,0,6,"(1b6453bec58e3c0c020fe654d04ba4fb8dbb20a3, 2017-06-07 07:03:27 +0200, Joan Puigcerver, 6, 0, 6, LINK)"
10299,1,14,6,20,"(2b351062ac016c8d64e5f6e12bb067154c61b623, 2017-06-08 19:13:04 +0200, Androbin, 14, 6, 20, LINK)"
10315,1,17,3,20,"(7a97dfc3ec5fa7bee974cfc163cb537cb5a63d0e, 2017-09-15 18:35:54 -0700, Yong Tang, 17, 3, 20, REGEX)"
10348,1,29,16,45,"(bfd39838de87cba85f9edf028c1c30bae86da164, 2017-11-03 17:07:50 -0700, Andrew Harp, 29, 16, 45, LINK)"
1035,1,37,19,56,"(73b9dd18ce3017829edef4a5b4190a4f0579369c, 2016-02-11 08:14:54 -0800, Sherry Moore, 37, 19, 56, LINK)"
10369,2,94,52,146,"(d5b89b184c58da9be8f3507db47b7495385ed934, 2017-06-02 14:50:27 -0700, Derek Murray, 47, 26, 73, LINK), (8939b8562027189b24e7609b77e17122dc3a21d4, 2017-06-02 14:50:27 -0700, Derek Murray, 47, 26, 73, LINK)"
10371,1,1,1,2,"(69ba4d3d49bd5775131ae7f00830a41f478dbbf5, 2017-06-05 09:13:06 -0700, Asim Shankar, 1, 1, 2, LINK)"
104,2,424,22,446,"(c6155d1a134ae61233406c881eb427c55cfef084, 2019-09-03 12:13:59 -0700, Uday Bondhugula, 174, 11, 185, LINK), (331cfd4d6f06bea9272eee7442a61aa70a931ead, 2019-09-03 12:13:59 -0700, Uday Bondhugula, 250, 11, 261, LINK)"
1040,1,3,2,5,"(b2757fb5797252bb1ef12bbf04be796cc83000cc, 2016-02-10 13:21:35 -0800, Geoffrey Irving, 3, 2, 5, LINK)"
10437,1,233,14,247,"(cd5ac40b31afaec237aaee35007f2dc846caf811, 2017-06-07 20:13:37 -0700, Peter Hawkins, 233, 14, 247, LINK)"
10447,1,11,4,15,"(4c0052dc4b7c49a876166113b49960a57f7db939, 2017-06-09 12:02:13 +0530, Lakshay Garg, 11, 4, 15, LINK)"
10454,2,4392,1661,6053,"(70fc9bf9b668adebe20ef6d1f7a0e182d7d02cc4, 2017-10-04 13:33:07 -0700, Asim Shankar, 145, 3, 148, LINK), (083bd5dde5e6845a6f5e3b83ea2e074d7b28d61f, 2017-10-04 13:33:07 -0700, Asim Shankar, 145, 3, 148, LINK)"
10494,1,3,3,6,"(51c9b3ab4553acf6f18278e3a66c532e92b95be8, 2017-06-09 12:22:36 +0200, Androbin, 3, 3, 6, LINK)"
105,2,31,0,31,"(fee62e21861aa80d5da2b450a86c33ed879399b7, 2019-08-28 13:55:11 -0700, Eric Schweitz, 13, 0, 13, LINK), (9034ed18511b4893dbaa061c247e85b1b29b056c, 2019-08-28 13:55:11 -0700, Eric Schweitz, 18, 0, 18, LINK)"
10519,1,223,89,312,"(f5fcd1fdcf896f46aed03c7e61525b48b75d1acc, 2017-06-14 14:05:06 -0700, Derek Murray, 223, 89, 312, LINK)"
1052,1,2,2,4,"(97f6b6fb66cd8e52af4750bd183dfc555d08ef4d, 2016-02-25 13:44:06 -0800, Vijay Vasudevan, 2, 2, 4, LINK)"
10521,4,48,21,69,"(8aff5e540a4771a56926ac30be0ebb4cc512e606, 2018-11-15 11:21:55 -0800, A. Unique TensorFlower, 9, 3, 12, LINK), (56e2ee40d3730e1b692ebd7f5a0b970ef3d314ad, 2018-11-07 08:51:44 -0800, A. Unique TensorFlower, 5, 13, 18, LINK), (c2368f875b53e9144a1803a3e67c5a61aa9c5862, 2018-06-07 01:20:14 -0700, A. Unique TensorFlower, 10, 2, 12, LINK), (db47fa9c92f5e8242038021fff0545d0f705802a, 2018-01-08 16:16:19 +0100, Yun Peng, 24, 3, 27, LINK)"
106,2,118,47,165,"(dc378478c81901b918c7ccc7c3d464683b770c09, 2019-09-04 06:58:39 -0700, Uday Bondhugula, 20, 12, 32, LINK), (0d78918b81a0199d2dbc70c0f1fdff5c414fc358, 2019-09-04 06:58:39 -0700, Uday Bondhugula, 98, 35, 133, LINK)"
1064,1,1,1,2,"(59a3e7e367dde6c6764e268550d2c80d84fffebb, 2016-02-13 15:58:23 -0800, Martin Wicke, 1, 1, 2, LINK)"
1069,1,119,80,199,"(14ac2235699509f512b44b71160239c153ab413d, 2016-05-26 15:20:44 -0700, David Z. Chen, 119, 80, 199, LINK)"
107,2,112,86,198,"(33816654d2bab7a394886852a5a484cda7ada5e9, 2019-08-29 01:13:01 -0700, Uday Bondhugula, 23, 11, 34, LINK), (a03eebc2376b333f2ceec13c7a4addecbf36ac96, 2019-08-29 01:13:01 -0700, Uday Bondhugula, 89, 75, 164, LINK)"
10725,1,15,0,15,"(1111e06d9cd691cbdfcb67cf9f234a504f4e0f6d, 2017-06-16 10:15:27 -0700, Vijay Vasudevan, 15, 0, 15, LINK)"
10741,1,1,1,2,"(76a0a15cb90c370e41766d124a7a11b28c18089a, 2017-06-15 14:56:36 -0700, Andrew Selle, 1, 1, 2, LINK)"
10749,2,686,439,1125,"(4a3cbea5f3d1f79eb2ff6bb2c64875e951ca3ce2, 2019-09-12 14:55:31 -0700, RJ Skerry-Ryan, 490, 329, 819, LINK), (8f0a90b711480c12716d1a3b1094cc8b34939f2d, 2018-05-02 17:57:27 -0700, RJ Ryan, 196, 110, 306, LINK)"
1076,1,8,0,8,"(44629a261d2b30b5aa78b13907ccdb736b303962, 2016-02-13 14:26:08 -0800, Vijay Vasudevan, 8, 0, 8, LINK)"
10766,1,42,0,42,"(7687debbf63e31375d960d663373da8d469f2d2e, 2017-07-14 16:46:49 -0700, Joshua V. Dillon, 42, 0, 42, LINK)"
10823,1,4,3,7,"(c1184705b1f5d2662f02b13700062a3a3d828e19, 2017-06-28 23:42:44 +0530, Tapan Prakash, 4, 3, 7, LINK)"
10835,1,26,1,27,"(ea79ba41be89d76180305b14d26d5c2f256d4c08, 2017-06-28 02:04:03 +0530, Anish Shah, 26, 1, 27, LINK)"
1084,1,1,1,2,"(c98c91b53074fa7697303e95e7e1e8b8941c59e9, 2016-02-13 13:38:55 -0800, Vijay Vasudevan, 1, 1, 2, LINK)"
10857,1,208,70,278,"(5ee38042d2bd7368ab671846a3ed507e6ae8d23e, 2017-09-21 17:00:01 -0700, Yuxin Wu, 208, 70, 278, LINK)"
109,3,67,5,72,"(977cb12055ca3b7f7ba47af249967c42c64b3743, 2019-09-06 11:02:31 -0700, Nagy Mostafa, 15, 2, 17, LINK), (5009581c19cf6a8f9908c48ba9004bdc66628c06, 2019-09-06 11:02:31 -0700, Nagy Mostafa, 51, 2, 53, LINK), (fc87d9110c44896427ef8c0bc08a96ef59f0e995, 2017-07-04 07:05:02 +0100, Luke Iwanski, 1, 1, 2, LINK)"
1097,1,31,2,33,"(b2bf45a0b91403fa00c0b35480e69d26eb8ce58d, 2016-07-11 10:55:21 -0800, Shanqing Cai, 31, 2, 33, LINK)"
11,3,72,16,88,"(1c156f643c9e5cdf5b349f43111b0cd1391ef468, 2017-02-20 21:11:19 +0100, Hans Pabst, 21, 15, 36, LINK), (bc923f66566b56b141a864b851a2d8ee8cfa9894, 2016-11-07 20:25:02 +0000, Luke Iwanski, 49, 0, 49, LINK), (bdb44703e9bd7f60798f0f812bd1705dba4a9532, 2015-11-27 20:35:54 -0800, Illia Polosukhin, 2, 1, 3, LINK)"
110,4,104,55,159,"(25ac1897608ea97258b71d04acf3e72b6952e076, 2019-08-30 17:38:36 -0700, Uday Bondhugula, 22, 10, 32, LINK), (f558cdaccba7f5079ebde1e11aaad733503f7857, 2019-08-30 17:38:36 -0700, Uday Bondhugula, 22, 10, 32, LINK), (6ebb3be47881f63cafa60e257811f29191d4fc1a, 2016-06-28 20:24:27 +0200, Jan Wilken Dörrie, 4, 2, 6, LINK), (d16868d4bd4c7730b9d0b02f97ee9ea46b77f057, 2016-02-25 10:10:16 -0800, Illia Polosukhin, 56, 33, 89, LINK)"
11005,2,48,48,96,"(f0923262ed4d89f2a201f6e7ca02e5d118c1b4d3, 2017-07-18 12:38:51 -0700, Alan Yee, 8, 8, 16, REGEX), (8695d596385e754159af5a1f0ae0676163bc73bb, 2017-06-27 13:40:33 -0700, Amit Patankar, 40, 40, 80, REGEX)"
11016,1,86,13,99,"(9b11f458196f6f0528c9974238497a6c8b6da547, 2017-06-29 11:10:56 -0700, Derek Murray, 86, 13, 99, LINK)"
11017,1,299,52,351,"(41bc76d28b8b301c546cc5624abd37fd8b97b64c, 2017-07-05 18:17:18 -0700, Shanqing Cai, 299, 52, 351, LINK)"
1102,2,90,0,90,"(bf08a419e5855c57665e7bc21dc7d4df374dc89c, 2016-02-15 16:50:56 -0800, Vijay Vasudevan, 45, 0, 45, LINK), (0ee27e38afb2682dc7a320397c5d29f43ea7f354, 2016-02-15 16:50:56 -0800, Vijay Vasudevan, 45, 0, 45, LINK)"
11077,2,14,0,14,"(ed678b04017b0951267b3e882a6d4953b4de7c04, 2017-07-18 09:30:16 -0700, Eugene Brevdo, 7, 0, 7, LINK), (a3d3ce160368efe4b0b3f7f8df23cc8423680364, 2017-07-18 09:30:16 -0700, Eugene Brevdo, 7, 0, 7, LINK)"
11091,1,23,4,27,"(e121535a7d04cfc7c7dbb09d8694c01eb29da26f, 2017-07-10 12:47:38 -0700, Alexandre Passos, 23, 4, 27, LINK)"
111,3,123,24,147,"(a4aa30b61dc5d033f6e2ecd7400e7d522c44bec9, 2019-09-13 22:11:23 -0700, Uday Bondhugula, 35, 2, 37, LINK), (f5de230422b696c2049a223432fa0bad4eeca97a, 2019-09-13 22:11:23 -0700, Uday Bondhugula, 85, 22, 107, LINK), (af5e87dedad1a88e0a4d962dbc5c9c18f79480ec, 2017-08-07 22:42:56 +0100, Luke Iwanski, 3, 0, 3, LINK)"
11132,1,98,9,107,"(66604b0355b32961f9a532792be2e008cc22221f, 2017-07-05 21:31:39 -0700, Asim Shankar, 98, 9, 107, LINK)"
11152,1,3,0,3,"(129b39e916cf6e3076f8a03b1d6277f5f7ecd166, 2017-07-05 17:20:41 +0200, Julian Viereck, 3, 0, 3, LINK)"
112,2,300,76,376,"(2ad042991c032bf38ea96b34814d44816fc7f78b, 2019-09-05 23:12:01 -0700, Uday Bondhugula, 139, 38, 177, LINK), (efe9bc678c241e22ec7bebf3edc674d3e28678ae, 2019-09-05 23:12:01 -0700, Uday Bondhugula, 161, 38, 199, LINK)"
11223,1,772,206,978,"(b1f9e2c89eb007cb4b9483d08dcace1e45e84164, 2017-07-11 09:51:54 -0700, RJ Ryan, 772, 206, 978, LINK)"
1123,2,54,14,68,"(3f1d5d5670e42ea4b01795c787e847dc799b9e54, 2016-02-17 13:46:29 -0800, Derek Murray, 27, 7, 34, LINK), (42f06d870014dec70769cbdd8697821c92880be9, 2016-02-17 13:46:29 -0800, Derek Murray, 27, 7, 34, LINK)"
11252,1,45,5,50,"(a24f96a3f70e0cc0792410673f55c4a898dea604, 2017-07-13 15:44:41 -0700, Jonathan Hseu, 45, 5, 50, LINK)"
1135,2,54,14,68,"(3f1d5d5670e42ea4b01795c787e847dc799b9e54, 2016-02-17 13:46:29 -0800, Derek Murray, 27, 7, 34, LINK), (42f06d870014dec70769cbdd8697821c92880be9, 2016-02-17 13:46:29 -0800, Derek Murray, 27, 7, 34, LINK)"
11372,1,57,4,61,"(1de8cce6643bb75edd1441fa01ffb6a0e5258c5f, 2017-07-11 12:57:41 -0700, A. Unique TensorFlower, 57, 4, 61, LINK)"
11396,1,57,4,61,"(1de8cce6643bb75edd1441fa01ffb6a0e5258c5f, 2017-07-11 12:57:41 -0700, A. Unique TensorFlower, 57, 4, 61, LINK)"
114,1,977,371,1348,"(153be4d261a066a9f31b929077bf58793278e558, 2017-07-31 17:27:31 +0100, Luke Iwanski, 47, 2, 49, LINK)"
11422,1,19,11,30,"(cbe1ef05fff2d4fbd0ecc8f3a2c3a3a0f0dc312d, 2017-07-11 14:26:30 -0700, Mark Daoust, 19, 11, 30, LINK)"
1145,1,33,14,47,"(e19437c09af0ba8eb83b282ffd4b76a2444f01d3, 2016-06-30 08:53:19 -0800, Shanqing Cai, 33, 14, 47, LINK)"
1146,2,4,4,8,"(477354072837c4f869e173dcd0c0464fd3fa802b, 2016-02-17 11:26:12 -0800, Vijay Vasudevan, 2, 2, 4, LINK), (19d632338f983e02dd0268b931e9cced03b74805, 2016-02-17 11:26:12 -0800, Vijay Vasudevan, 2, 2, 4, LINK)"
11462,1,40,37,77,"(201fa224e178b76ece4723c433a17df10005341c, 2017-07-13 14:58:13 -0700, A. Unique TensorFlower, 40, 37, 77, LINK)"
1147,2,2,2,4,"(798fb10a81c493a5e19e624dab71963dbd928691, 2016-02-17 17:10:19 -0800, Vijay Vasudevan, 1, 1, 2, LINK), (0c6ad48701fb5d81fedfc67d41dcf2b3c91200cf, 2016-02-17 17:10:19 -0800, Vijay Vasudevan, 1, 1, 2, LINK)"
11484,1,18,1,19,"(ee8d9f353a29c3b0df8447e94c11f1a61ee75583, 2017-07-14 16:23:15 -0700, Vijay Vasudevan, 18, 1, 19, LINK)"
115,2,45,28,73,"(7ff3a1de3bbe21ae2e3b45d7719a231c03d2c9b6, 2019-09-01 11:32:52 -0700, Mehdi Amini, 18, 13, 31, LINK), (1e94b99d2522a1759f47748e24558742fdecae64, 2019-09-01 11:32:52 -0700, Mehdi Amini, 27, 15, 42, LINK)"
11501,1,78,63,141,"(0ffefe178f71ddb595471ddfc43edb8d702155ca, 2017-08-09 08:59:07 -0700, Yong Tang, 78, 63, 141, LINK)"
11540,2,14,0,14,"(ed678b04017b0951267b3e882a6d4953b4de7c04, 2017-07-18 09:30:16 -0700, Eugene Brevdo, 7, 0, 7, LINK), (a3d3ce160368efe4b0b3f7f8df23cc8423680364, 2017-07-18 09:30:16 -0700, Eugene Brevdo, 7, 0, 7, LINK)"
11554,1,344,53,397,"(9389c25983e025daff330fc4126d6a525ce32c77, 2017-11-05 10:20:10 -0800, Yong Tang, 344, 53, 397, REGEX)"
116,2,14,26,40,"(476635ebafa0013d96e36a4b7bf2a52108f8c1a0, 2019-09-03 11:12:25 -0700, Alex Torres, 7, 13, 20, LINK), (b09e5b90533baf5e569e88776ec5dccc512e3e8b, 2019-09-03 11:12:25 -0700, Alex Torres, 7, 13, 20, LINK)"
11602,1,1,0,1,"(a98da3d667f3be86db49cbe0586c8fbb19023090, 2018-01-11 11:47:34 -0800, Asim Shankar, 1, 0, 1, LINK)"
1162,1,229,37,266,"(bce6216610d57f8f4b1e9e79836737df109c4e42, 2016-02-24 16:27:54 -0800, Vincent Vanhoucke, 229, 37, 266, LINK)"
11650,1,201,20,221,"(cb3314159fe102419289d394246d7ac9c2a422c1, 2017-08-22 11:10:29 -0700, Eugene Brevdo, 201, 20, 221, LINK)"
11666,2,116,16,132,"(672c96cefcd1bc490f86cb81ff0e335ffcd1886b, 2017-07-21 13:13:27 -0700, Eugene Brevdo, 58, 8, 66, LINK), (307a2fc2adc2c6b717bb9713f81289f6bbb91b07, 2017-07-21 13:13:27 -0700, Eugene Brevdo, 58, 8, 66, LINK)"
11673,2,16,13,29,"(3953afc536c362574a454c1bd6e7047f161ee79f, 2017-11-22 12:16:40 +0530, Shreyash sharma, 7, 12, 19, LINK), (a52fc6278299fb6d647609f2b49c0c4cb087b646, 2017-09-07 16:53:50 -0700, Yong Tang, 9, 1, 10, REGEX)"
117,3,17,9,26,"(6e88084432e08f5afeda33d76d61493ac89953fd, 2019-09-03 11:27:00 -0700, River Riddle, 1, 1, 2, LINK), (a32d6a644f3f90c4f87a8d5abea4ffd83e29429f, 2019-09-03 11:27:00 -0700, River Riddle, 4, 1, 5, LINK), (bc45f6930e49432aa29ca2ba53dc23e7d338b57d, 2017-07-06 11:58:46 +0100, John Lawson, 12, 7, 19, LINK)"
1171,1,7,0,7,"(09d236384513e205d1a46a59e3a768ffc91c3d47, 2016-06-30 23:30:41 +0800, Wenjian Huang, 7, 0, 7, LINK)"
11715,2,110,0,110,"(16c9d227ea6d65c7443c0363e85cae43d9fea6e4, 2017-08-08 14:47:59 -0700, Derek Murray, 55, 0, 55, LINK), (865b92da01582081576728504bedf932b367b26c, 2017-08-08 14:47:59 -0700, Derek Murray, 55, 0, 55, LINK)"
11735,1,20,3,23,"(694892d4c0fba6bd4322e943f8b1483b36f1ae99, 2018-05-29 05:05:08 +0200, Yun Peng, 20, 3, 23, LINK)"
118,2,35,16,51,"(d28ca29e52f7635f24470d696c4b61ec26661fa0, 2016-02-28 17:22:54 -0800, Illia Polosukhin, 11, 9, 20, LINK), (e576ca6eb5ef5aaff670785530b842feb3d81316, 2016-02-28 16:46:52 -0800, Illia Polosukhin, 24, 7, 31, LINK)"
11804,1,0,2,2,"(dfbacef32d1fdafe71caad4c99ce8c4b648e6397, 2018-04-09 15:45:48 +0000, Ilya Polenov, 0, 2, 2, LINK)"
11821,1,55,42,97,"(ea53262ee056f89a340a758308cb609212afa1e7, 2017-08-21 15:57:55 -0700, A. Unique TensorFlower, 55, 42, 97, LINK)"
11841,1,17,5,22,"(9a1b56c46c01ba045e95fa8eadabb988e8a8793c, 2019-10-17 15:15:56 -0700, Reed Wanderman-Milne, 17, 5, 22, LINK)"
11890,1,1162,371,1533,"(3cc5fc0886ab0a68aedd1700a4bbd58b915ab8ac, 2017-08-01 07:59:31 -0700, Chris Leary, 232, 2, 234, LINK)"
11923,1,2,3,5,"(6c62fa93ad22594c65e1b3f7aecce79da660f5e9, 2017-12-23 18:39:49 -0800, Andy Craze, 2, 3, 5, LINK)"
1198,1,4,0,4,"(484a80ce99998b59cf9f606a7c2a9ad1c14ea29a, 2016-03-08 10:35:18 -0800, A. Unique TensorFlower, 4, 0, 4, LINK)"
12,1,43,30,73,"(bcb537d10d22364f72acbb1ded7e12d23d8bb958, 2017-02-06 21:03:13 -0800, Anand Venkat, 43, 30, 73, LINK)"
120,4,20,2,22,"(e46c8323be5f4a9033e3e061473a3ff794422804, 2019-09-04 19:16:32 -0700, Nicolas Vasilache, 3, 0, 3, LINK), (72e261bae4f48eb513cee6f7ffea5ecd0c90458b, 2019-09-04 19:16:32 -0700, Nicolas Vasilache, 3, 0, 3, LINK), (eb06eb2fa1f75320ec538b82958d3908c249e36a, 2016-03-05 15:21:58 -0600, terrytangyuan, 2, 2, 4, LINK), (b0cddab4d103fc0170f22736f73ff40deaedc126, 2016-03-05 14:57:51 -0600, terrytangyuan, 12, 0, 12, LINK)"
12018,1,67,11,78,"(0e222435d28eaf0efb8a30493d98cace3d4f02bf, 2017-09-19 15:33:10 -0700, Yong Tang, 67, 11, 78, REGEX)"
12059,2,57,26,83,"(35c44ab67d6e5d9b24f3f154c92e7aa3edfee957, 2017-09-26 18:00:16 -0700, Shanqing Cai, 23, 23, 46, LINK), (ecb544ae124ab6c62941d0b1906f3e8b1a073108, 2017-08-07 08:25:36 -0700, Shanqing Cai, 34, 3, 37, LINK)"
12083,1,21,17,38,"(ed2473c776e04eca3019561a57c3447a3b062321, 2017-08-09 08:57:44 -0700, Yong Tang, 21, 17, 38, REGEX)"
121,2,231,99,330,"(4ae88ff1efdeeb252b8bf417ed3cf03ab722499b, 2019-09-17 11:49:14 -0700, Uday Bondhugula, 101, 48, 149, LINK), (5d81613258e3f76b02246ce772a17359dc069bdf, 2019-09-17 11:49:14 -0700, Uday Bondhugula, 130, 51, 181, LINK)"
12110,1,10,13,23,"(ada51982f60746c2c2147117c5f2e0c972725143, 2017-08-09 21:07:30 -0700, Andrew Harp, 10, 13, 23, LINK)"
12113,1,77,11,88,"(af47270e4722596d67c04e480bbf6149e8a7cd38, 2017-08-09 04:18:39 +0000, Yong Tang, 77, 11, 88, REGEX)"
12117,1,1,1,2,"(34ff4822c40f97cdb1b8dfc9f149c28e39fb0087, 2017-08-10 17:35:23 +0200, Yun Peng, 1, 1, 2, LINK)"
12141,1,2,2,4,"(021d3e476e47971bda2ad39699dc7d69f3a79eb9, 2017-08-09 13:48:54 +0000, Yong Tang, 2, 2, 4, REGEX)"
12169,1,12,0,12,"(92111fdd1a9baa113264149413105f700f9ee310, 2017-08-10 10:55:28 -0700, Yong Tang, 12, 0, 12, REGEX)"
12181,1,7,1,8,"(2133b83376a3439924a0bb9bac7b4a8b716a6fc0, 2017-08-17 12:51:02 -0700, Yifei Feng, 7, 1, 8, LINK)"
12185,1,1,1,2,"(8b75375e0c256bf173442ff2bddecb572692b78e, 2017-08-14 10:49:17 -0700, Yifei Feng, 1, 1, 2, LINK)"
122,2,231,99,330,"(4ae88ff1efdeeb252b8bf417ed3cf03ab722499b, 2019-09-17 11:49:14 -0700, Uday Bondhugula, 101, 48, 149, LINK), (5d81613258e3f76b02246ce772a17359dc069bdf, 2019-09-17 11:49:14 -0700, Uday Bondhugula, 130, 51, 181, LINK)"
12210,1,1970,141,2111,"(565a9d3509299383ef7ae6815760fc42237e4cb6, 2017-08-17 17:26:00 -0700, Vijay Vasudevan, 1, 1, 2, LINK)"
12224,1,8,0,8,"(9e6183e4acbb1b795069947faf778a47709d2029, 2017-08-15 11:18:41 -0700, Yong Tang, 8, 0, 8, REGEX)"
12232,1,25,9,34,"(53aef8a3a5920e53f7da3ea2140374546d1bf708, 2017-08-17 09:51:41 -0700, Yong Tang, 25, 9, 34, LINK)"
